locatiecode,wgs84_lon,wgs84_lat,Overall_status_weighted
BOT024,4.9287452091596045,52.26195788918054,Potential stress
BOT025,4.930693605952604,52.257651245808496,Potential stress
BOT026,4.93307334472359,52.264140675666006,Potential stress
BOT027,4.93416550507925,52.2590217753085,Potential stress
BOT028,4.924142452408237,52.26087038875764,Potential stress
BOT029,4.933386275543093,52.25500120030989,Potential stress
BOT030,4.94450057557296,52.255169184400245,Potential stress
BOT031,4.9112279172212,52.25222665522169,Potential stress
BOT032,4.927674922447894,52.25496115610247,Potential stress
BOT033,4.928044748112219,52.25744325156151,Potential stress
BOT034,4.925154213284991,52.25794429669353,Potential stress
BOT035,4.925191713759926,52.258564607687006,Potential stress
BOT036,4.92506213273871,52.25975949025167,Potential stress
BOT037,4.924679921886849,52.259892813521695,Potential stress
BOT038,4.927626516749669,52.25681247372957,Potential stress
BOT039,4.934574482735971,52.25769313527504,Potential stress
BOT040,4.935621543170538,52.25698709745025,Potential stress
BOT041,4.90868632989086,52.25161420164252,Potential stress
BOT042,4.9240699661612135,52.2607982016694,Potential stress
BOT043,4.93453167611729,52.24750069937264,In danger
BOT112,4.916099522660968,52.25547283215486,Unknown
BOT127,4.929266476527022,52.26539327944769,Unknown
BOT333,4.917751149458496,52.25717811668959,In danger
BOT334,4.921524420586926,52.25490113045928,In danger
BOT335,4.934127556481253,52.24980005331528,In danger
BOW001,4.886842792052247,52.355270312155895,Potential stress
BSD001,4.91726262224027,52.400477214827845,Potential stress
BTV001,4.898426224989083,52.33776562724824,Potential stress
BTV002,4.862471067460821,52.32341991803808,Potential stress
BTV003,4.905108786248826,52.33582471840276,Potential stress
BTV004,4.876089235954393,52.33308748998847,Potential stress
BTV005,4.888917936355187,52.33517344497139,Potential stress
BTV006,4.862380089794766,52.32367117332513,In danger
BTV007,4.871550977896502,52.32212964480744,In danger
BTV008,4.874679376119581,52.33829430785585,In danger
BTV009,4.87808205671728,52.32946501304635,In danger
BTV010,4.882498460757226,52.322949804228166,In danger
BTV011,4.893077758705543,52.33316863802794,In danger
BTV104,4.877174243462944,52.33314609833086,OK
BTV118,4.873421592022054,52.33540377478155,Potential stress
BUL001,4.918312289056862,52.2914960190158,Potential stress
BUL002,4.91571291418065,52.29473029260293,Potential stress
BWW001,4.994500239473641,52.18546483795193,Potential stress
BWW002,4.990788494716604,52.18025738239982,Potential stress
BWW003,4.994370618232321,52.18523970742784,Potential stress
BWW103,4.981370096061426,52.18213982146515,Unknown
BZP001,4.968176796457133,52.27910925587073,Potential stress
BZP002,4.977750364780255,52.28494892964709,Potential stress
BZP003,4.974903090056388,52.28065184493799,Potential stress
BZP006,4.981355550646823,52.2801348987919,Potential stress
BZP100,4.988875295619339,52.28150864309123,Unknown
DBR001,4.814363409985731,52.38678538543288,Potential stress
DBR003,4.776552291449891,52.38579654061756,Potential stress
DBR004,4.804251789457529,52.38496545764599,Potential stress
DBR005,4.769656092472747,52.38736060139535,Potential stress
DBR101,4.802865939158869,52.386468568351226,Potential stress
DBR102,4.795261395259032,52.385037700524,Unknown
DED001,4.985660602539404,52.3389116453605,Potential stress
DED002,4.983756739892431,52.33850971092147,Potential stress
DED100,4.98034550332482,52.3360803350817,Potential stress
DEM001,4.933905806470876,52.18958893847499,Potential stress
DEM002,4.952885916921448,52.19278810213519,Potential stress
DEM003,4.976214131842073,52.20376501454805,Potential stress
DMP001,4.996593951655405,52.34204000745935,Potential stress
DMP002,4.965507954701432,52.342670326768825,Potential stress
DMP003,4.969202201833558,52.34150603977655,Potential stress
DMP006,4.974826171436718,52.34267619669024,Potential stress
DMP012,4.968209322241026,52.35186536389006,Potential stress
DMP013,4.968364269038249,52.33855510319087,Potential stress
DMP014,4.975703234259791,52.34779325820329,Potential stress
DMP015,4.97968224700386,52.34600049475844,Potential stress
DMP016,4.962905400309651,52.34628307709278,Potential stress
DMP017,4.971864844543865,52.3407963958158,OK
DMP018,4.970566591701358,52.33997394980394,Potential stress
DMP019,4.974752714484032,52.33636655843427,Potential stress
DMP020,4.960640506759932,52.34678723639082,Potential stress
DMP021,4.988043633073113,52.34314393247858,Unknown
DMP103,4.975641725653832,52.34018044916999,Unknown
DMP113,4.979770379922456,52.34599181045076,Unknown
DMP116,4.977832601661785,52.34446620099899,Unknown
EBO001,4.882855330499974,52.22818306948241,Potential stress
EBO002,4.862665641013116,52.227412061090725,Potential stress
EBO003,4.884342246493148,52.22482790911885,Potential stress
ELZ101,4.959877644626495,52.25525274514898,OK
ERP001,4.853674384600319,52.37435025232932,Potential stress
ERP002,4.8506342109308935,52.37559479679308,Potential stress
ERP003,4.849622952698263,52.37421508700448,Potential stress
FKD001,4.933706481861623,52.35147756427496,Potential stress
FRP001,4.92017511116817,52.39599490990621,Potential stress
FRP002,4.919368784339481,52.395829950308254,Potential stress
FRP003,4.918378128806169,52.39503512010082,In danger
FRP004,4.917922701296213,52.39503331665436,In danger
FRP007,4.917907798667111,52.39088994762615,Potential stress
FVP001,4.948981854759874,52.362266422101065,Potential stress
FVP002,4.953021160860131,52.36355755687561,Potential stress
FVP003,4.947360385607953,52.358485574910056,Potential stress
GAA001,4.997254051178722,52.31700236568737,Potential stress
GAA002,5.018064080316631,52.304755900028695,Unknown
GAA005,4.997092730504375,52.31700183387528,Potential stress
GAG001,4.90799056705,52.19380083859532,Potential stress
GAG002,4.922303663187527,52.18728783417368,Potential stress
GAG003,4.919310113773526,52.17991482492637,Potential stress
GAG004,4.904586096612371,52.19349935563525,Potential stress
GAG005,4.911750777875891,52.193663244154685,Potential stress
GBP001,4.828492214145773,52.37879987759584,Potential stress
GEE003,4.894478275123674,52.16188263224575,Potential stress
GEI001,5.004272401165422,52.28032817796621,Potential stress
GEI002,4.981222312730929,52.27386093651238,Potential stress
GEI004,4.986719150867034,52.27847246415973,Potential stress
GEU001,4.972942390934112,52.22053406771582,Potential stress
GGP001,5.008147800362067,52.30704338367539,Potential stress
GGP002,5.001459170712376,52.30563764544473,Potential stress
GGP003,5.00073185303417,52.29653963915624,Potential stress
GGP004,4.979155294122077,52.28836016751969,Potential stress
GGP006,4.981217457620147,52.3048958216907,Potential stress
GGP007,4.993081655367107,52.289710632178135,Potential stress
GGP008,4.977791330526816,52.29482667367432,Potential stress
GGP009,4.973693296630723,52.30202062912468,Potential stress
GGP012,4.988652356302427,52.30965766282328,OK
GGP013,4.989747666665076,52.31015567520485,Potential stress
GGP014,5.013814615275075,52.29922407122021,Potential stress
GGP015,4.982801578317796,52.30643815839237,OK
GGP018,4.99578642789418,52.29380906308425,Potential stress
GGP019,5.004304822651867,52.3072017746493,Potential stress
GGP020,5.000440545330477,52.30980464352935,Potential stress
GGP021,4.982063820620109,52.2940774237478,Potential stress
GGP022,4.993783505642386,52.31143644074924,Potential stress
GGP023,4.97499123455789,52.3059258588177,Potential stress
GGP024,4.98956058272709,52.30975958466863,Unknown
GGP025,4.993351791341549,52.30885551521641,Unknown
GGP032,4.995848203347951,52.3034441735273,OK
GGP050,4.996655139430373,52.30671839026449,Potential stress
GGP051,4.996655139430373,52.30671839026449,Potential stress
GGP052,4.996655139430373,52.30671839026449,Potential stress
GGP054,4.996655139430373,52.30671839026449,Potential stress
GGP056,4.996655139430373,52.30671839026449,Potential stress
GGP057,4.996655139430373,52.30671839026449,Potential stress
GGP059,4.989572459562703,52.311709970133066,Potential stress
GGP060,4.9904240214964295,52.309951226999154,Potential stress
GGP081,5.004784996505644,52.30592706490705,Potential stress
GGP082,4.999945779007697,52.30432048584354,Potential stress
GGP115,4.98737677344076,52.30638180896519,Unknown
GHC002,4.959124689753516,52.15990580411186,Potential stress
GHC003,4.983737985296113,52.16929510819599,In danger
GSW001,4.987211847572086,52.3312234048463,Potential stress
GSW002,5.0038746799757305,52.31117297303632,Potential stress
GSW004,5.015130744271808,52.32939110578011,Potential stress
GSW005,5.003570545913451,52.31073158690726,Potential stress
GSW006,5.017784891815931,52.315414506691965,Potential stress
GSW007,4.9983614733321255,52.31782389589618,Potential stress
GSW008,5.012330966190041,52.32043947620059,Potential stress
GSW009,4.999355857198895,52.31311757635482,Potential stress
GSW010,4.98446599712534,52.33796387556124,Potential stress
GSW011,5.016732669402308,52.30969500637431,Potential stress
GSW012,5.009531158712244,52.32197646378751,Unknown
GSW013,5.015971577322277,52.32356969887628,Unknown
GSW014,4.991495787499845,52.33121084414987,Potential stress
GSW015,4.997998135085492,52.31744521565499,Potential stress
GSW016,5.012549450538522,52.320619923011655,Potential stress
GSW017,5.019357584218353,52.3079056459472,Potential stress
GSW018,5.007410780541462,52.324657010247385,Potential stress
GSW151,4.997977357971087,52.32651378089148,Unknown
GSW160,5.008025375564211,52.31623746707305,Unknown
GWM001,4.919939445317126,52.17985440156042,Potential stress
GWV001,4.972423532345919,52.21810550616915,Potential stress
GWV002,4.954544396537702,52.232880440710666,Potential stress
GWV003,4.947051927806939,52.24005208495579,OK
GWV004,4.96326996966926,52.235833141701214,OK
GWV005,4.962875658859757,52.23880672267558,OK
GWV006,4.906834053541988,52.19661837179587,Potential stress
GWV007,4.961636194252264,52.24901251306638,OK
GWV008,4.9483252805555225,52.25197477366856,OK
GWV009,4.971694754510556,52.22093414252731,Potential stress
GWV010,4.973019151768618,52.22014785601877,Potential stress
GWV011,4.829057416190624,52.22412123379033,Potential stress
GWV012,4.826069087426958,52.19876982807039,Potential stress
GWV013,4.93291705564346,52.24357577613788,Potential stress
GWV014,4.8610594911243625,52.20973452474392,Potential stress
GWV015,4.887035775133712,52.16479940791033,Potential stress
GWV016,4.933739840792359,52.20159625167587,Potential stress
GWV017,4.951066054388734,52.25473521231389,Potential stress
GWV018,4.9285170870502135,52.20733737295644,Potential stress
GWV019,4.952451401999891,52.21785392776254,Potential stress
GWV020,4.952451401999891,52.21785392776254,Potential stress
GWV021,4.952451401999891,52.21785392776254,Potential stress
GWV022,4.971128063255901,52.22050072735758,Potential stress
GWV023,4.951375734703535,52.24853471277271,Potential stress
GWV024,4.951375734703535,52.24853471277271,Potential stress
GWV025,4.951375734703535,52.24853471277271,Potential stress
GWV026,4.951375734703535,52.24853471277271,Potential stress
GWV027,4.951375734703535,52.24853471277271,Potential stress
GWV028,4.951375734703535,52.24853471277271,Potential stress
GWV029,4.951375734703535,52.24853471277271,Potential stress
GWV030,4.951375734703535,52.24853471277271,Potential stress
GWV031,4.951375734703535,52.24853471277271,Potential stress
GWV032,4.951375734703535,52.24853471277271,Potential stress
GWV033,4.928769718482215,52.23255854347919,Potential stress
GWV034,4.937149854714633,52.246342272132125,Potential stress
GWV035,4.958307816922003,52.2509778155744,Potential stress
GWV036,4.951375734703535,52.24853471277271,Potential stress
GWV037,4.951375734703535,52.24853471277271,Potential stress
GWV038,4.951375734703535,52.24853471277271,Potential stress
GWV039,4.949527298283757,52.23100146215674,Potential stress
GWV040,4.964493172484623,52.23497468507625,Potential stress
GWV041,4.962985323821578,52.22729360190691,Potential stress
GWV042,4.962985323821578,52.22729360190691,Potential stress
GWV043,4.962985323821578,52.22729360190691,Potential stress
GWV044,4.942740654673634,52.220208580556125,Potential stress
GWV045,4.923751472028366,52.191499911504216,Potential stress
GWV046,4.935720144422726,52.20827291400678,Potential stress
GWV047,4.845905385221934,52.21186810130304,Potential stress
GWV048,4.833376974998305,52.22748510107162,Potential stress
GWV049,4.881990578101223,52.171491997983175,Potential stress
GWV050,4.941821890203708,52.15985075925187,Potential stress
GWV051,4.96969525647572,52.17036977230785,Potential stress
GWV052,4.837634717624656,52.18845201924745,Potential stress
GWV053,4.986302350302234,52.20113027054481,Potential stress
GWV054,4.979546158208827,52.1897283793578,Potential stress
GWV055,4.976285472786154,52.175390227425,Potential stress
GWV056,4.967525391162003,52.191259159832,Potential stress
GWV057,4.991196182150865,52.22162129321197,Potential stress
GWV058,4.973254686126123,52.21842299932784,Potential stress
GWV059,4.963489080618344,52.20510418966212,Potential stress
GWV060,4.963148176479868,52.20557033978283,Potential stress
GWV061,4.925019015334332,52.1990188416483,In danger
GWV067,4.937307024984032,52.21774328874749,Potential stress
GWV070,4.945601048545239,52.24610451880396,OK
GWV079,4.952451401999891,52.21785392776254,Potential stress
GWV081,4.962985323821578,52.22729360190691,Potential stress
GWV087,4.934594309796697,52.24422035385708,Potential stress
GWV088,4.937376092228883,52.24423996382984,Potential stress
GWV089,4.934919374148953,52.20212207786821,Potential stress
GWV091,4.923457362494457,52.18743617967831,In danger
GWV092,4.951375734703535,52.24853471277271,Potential stress
GWV093,4.961669026094653,52.25630180183138,Potential stress
GWV094,4.964363317184798,52.2548194843783,Potential stress
GWV095,4.961756900918672,52.25323725236416,Potential stress
GWV096,4.959477017132071,52.2496967853733,OK
GWV097,4.935722374642954,52.21527454343987,Potential stress
GWV098,4.932379224619924,52.20735231006551,Potential stress
GWV099,4.94474485152624,52.20111669599876,Potential stress
GWV100,4.96544866916198,52.24692301505061,Unknown
GWV101,4.960677178375486,52.25434785763257,In danger
GWV102,4.960350683443647,52.254796072785936,Potential stress
GWV103,4.96036118549087,52.256755467533466,In danger
GWV104,4.925863941089856,52.200765814705946,In danger
GWV105,4.92440960340314,52.20136231880306,In danger
GWV143,4.828564942984986,52.221377563612975,Unknown
GWV157,4.819299274615471,52.226123987628974,Unknown
GWV174,4.963875467211372,52.20755029883696,Unknown
GWV515,4.826959595413336,52.19425306763736,Unknown
GWV554,4.958286696623508,52.199962270883226,OK
GWV555,4.96141411399538,52.20026120370139,Unknown
GWV570,4.9497398145859055,52.21085129246234,OK
GWV579,4.951505531254627,52.20833220397082,Potential stress
GWV591,4.964247226649404,52.211542280051766,Unknown
GWV625,4.945270941065504,52.1893623864308,Unknown
GWV644,4.919531098295854,52.1783607730674,Unknown
GWV661,4.9271385499769815,52.18497888062928,OK
GWV686,4.912484738012728,52.17967186159792,OK
GWV707,4.8556331304552085,52.18383368371566,OK
GWV730,4.847627431244768,52.18081332697848,OK
GWV769,4.901798066493368,52.16881579117141,OK
GWV796,4.944179893245656,52.19614422681264,Unknown
GWV805,4.973247026964292,52.16725445521968,OK
GWV840,4.942219696392765,52.16099374064834,OK
GWV844,4.956399885759393,52.162097955812094,OK
GWV866,4.966741337801173,52.18445246805353,Unknown
GWV875,4.969662190523157,52.17546585350039,OK
GWV878,4.979210741950751,52.18642863382348,Unknown
GWV882,4.968665964955519,52.19439102304074,OK
GWV891,4.975376657165041,52.19465729388023,OK
GWV895,4.977939667322469,52.19746146169085,Unknown
GWV930,4.991493278027914,52.21782938690092,OK
GWV932,4.956732445255653,52.1745925134942,Potential stress
GWZ001,4.935038340061357,52.175967463604174,Potential stress
GWZ002,4.882382809422423,52.17687751808095,Potential stress
GWZ003,4.850385073778994,52.18129327916754,Potential stress
GWZ004,4.902412100625186,52.171496752130125,Potential stress
HBP001,4.927702711855423,52.2820596960224,Potential stress
HBP004,4.927685518333888,52.29223386382599,Potential stress
HBP005,4.927219812580293,52.28482607505586,Potential stress
HBP006,4.931995225414331,52.28361322117932,Potential stress
HBP007,4.923305637776227,52.28774980845488,Potential stress
HBP008,4.948290679243869,52.283701795700445,In danger
HBP009,4.939542518153175,52.2850711020932,In danger
HBP010,4.93023992965456,52.283291876030525,In danger
